TF	Gene
ATF4	SLC25A3
ATF4	SLC35B1
ATF4	SNCAIP
ATF4	SNHG11
ATF4	SPRYD4
ATF4	SRGAP2D
ATF4	SRSF3
ATF4	STAG3L4
ATF4	STARD13
ATF4	STK19
ATF4	SURF4
ATF4	SV2C
ATF4	TCP10
ATF4	THRAP3
ATF4	TMEM198B
ATF4	TP53BP2
ATF4	TPM2
ATF4	TPTE2
ATF4	TRAK2
ATF4	TRIM28
ATF4	TRIM74
ATF4	UBC
ATF4	USP36
ATF4	VRK2
ATF4	WIPF2
ATF4	XPNPEP1
ATF4	ZBTB11-AS1
ATF4	ZHX1-C8orf76
ATF4	ZNF200
ATF4	ZNF598
ATF4	ZNRF2
ATF4	SNORD91A
ATF4	ALKBH7
ATF4	ARHGEF38
ATF4	ARIH2OS
ATF4	ARL13B
ATF4	ARNT
ATF4	ATAD3B
ATF4	BBS12
ATF4	C1orf158
ATF4	CD27-AS1
ATF4	COPE
ATF4	EBPL
ATF4	EGLN2
ATF4	EIF2B5
ATF4	FAU
ATF4	FBXL2
ATF4	FBXO45
ATF4	GSG1
ATF4	HES2
ATF4	HIST1H2BO
ATF4	HMGCL
ATF4	INIP
ATF4	IQCA1L
ATF4	LAMB4
ATF4	LIPJ
ATF4	MED18
ATF4	MIR223
ATF4	MRPL54
ATF4	MYL12B
ATF4	NDUFA11
ATF4	OR4E2
ATF4	PRPH
ATF4	SLC17A9
ATF4	SYNGR4
ATF4	TP53TG5
ATF4	TRIM52-AS1
ATF4	U2AF1
ATF4	UQCRQ
ATF4	ZCCHC13
ATF4	ZFP90
ATF6	AHCYL1
ATF6	G3BP2
ATF6	MMGT1
ATF6	UBQLN1
ATF6	WDR82
ATF6	XRN2
ATF6	SLAIN2
ATF6	AP2B1
ATF6	FBXO34
ATF6	ACOX1
ATF6	ATF6
ATF6	MAGT1
ATF6	SERINC3
ATF6	VPS4B
ATF6	WAC
ATF6	CSDE1
ATF6	HELZ
ATF6	HNRNPH2
ATF6	POGK
ATF6	RIPK2
ATF6	SMARCA2
ATF6	STAU1
ATF6	SEC23A
ATF6	BTBD10
ATF6	SERINC1
ATF6	SLC12A6
ATF6	ZFR
ATF6B	GAPDH
ATF6B	POLG
ATF6B	SCAMP4
ATF6B	TRPC4AP
BACH1	ACOX1
BACH1	AMN
BACH1	ARFGEF2
BACH1	ARHGAP12
BACH1	ARHGEF16
BACH1	ARL2
BACH1	ARMCX6
BACH1	ARMT1
BACH1	ATP6V1A
BACH1	ATP6V1C1
BACH1	ATP7A
BACH1	BACH1
BACH1	BATF
BACH1	BCL6
BACH1	C19orf73
BACH1	CACUL1
BACH1	CDK4
BACH1	CDV3
BACH1	CEL
BACH1	CELF2
BACH1	CEP120
BACH1	CHM
BACH1	COMMD4
BACH1	CPEB4
BACH1	CTBP2
BACH1	CUTA
BACH1	CYTIP
BACH1	DENND6A
BACH1	DNAJB9
BACH1	DRICH1
BACH1	ESCO1
BACH1	FAHD1
BACH1	FDX1L
BACH1	FNIP1
BACH1	FNIP2
BACH1	FRMD4A
BACH1	GAPDH
BACH1	GMFB
BACH1	GPR137B
BACH1	HNRNPH2
BACH1	HOXD10
BACH1	HSPBAP1
BACH1	IL16
BACH1	KAT6A
BACH1	KCNAB1
BACH1	KDM6A
BACH1	KIAA0196
BACH1	KIAA0513
BACH1	KLF6
BACH1	KLHL24
BACH1	LIMS1
BACH1	LY96
BACH1	MAP1LC3B
BACH1	MAPKAPK3
BACH1	MICU1
BACH1	NCK1
BACH1	NPTN
BACH1	NPTN-IT1
BACH1	NR5A2
BACH1	OSBPL8
BACH1	OTUD1
BACH1	PANK3
BACH1	PDP1
BACH1	PHC3
BACH1	PHF3
BACH1	PPP3R1
BACH1	RCBTB1
BACH1	RHEBL1
BACH1	RIC1
BACH1	RLF
BACH1	RLIM
BACH1	RNF146
BACH1	RPL13A
BACH1	RRAGC
BACH1	SERPINE2
BACH1	SLC12A6
BACH1	SLC31A2
BACH1	SLC35F6
BACH1	SMCR8
BACH1	SNAP29
BACH1	SNN
BACH1	SNRPA
BACH1	SOCS5
BACH1	SPRY2
BACH1	STAG2
BACH1	STK17B
BACH1	TMEM131
BACH1	TNFAIP3
BACH1	TNKS2
BACH1	TRAPPC2L
BACH1	TUG1
BACH1	VEGFB
BACH1	YAF2
BACH1	ZBTB16
BACH1	ZNF777
BAD	MLF2
BAD	SERF2
BARX1	HOXB13
BARX1	LRRC52
BARX1	SNAP25
BCL11A	BCL11A
BCL11A	BEND5
BCL11A	LINC00226
BCL11A	TCF4
BCL3	AKNA
BCL3	BCL3
BCL3	BHLHE40
BCL3	MARK2
BCL3	NFKB2
BCL3	NFKBIE
BCL3	SYN2
BCL3	TCTEX1D4
BCL3	MAP7D1
BCL3	PIM3
BCL3	RELT
BCL3	SBNO2
BCL3	SH3BP1
BCL3	ZNF467
BCL3	CDC42EP2
BCL3	FAM65A
BCL3	RAPGEF1
BCL6	BCL6
BCL6	BPI
BCL6	CUEDC1
BCL6	IL1R2
BCL6	ITPRIP
BCL6	SHROOM1
BCL6	STX11
BCL6	ABAT
BCL6	ABCC3
BCL6	ALDH1A2
BCL6	ANG
BCL6	CAMK1
BCL6	CAST
BCL6	CDKN2D
BCL6	CRISPLD2
BCL6	GPCPD1
BCL6	LGALS3
BCL6	LINC01353
BCL6	NPL
BCL6	NUAK2
BCL6	RAB11FIP1
BCL6	S100A9
BCL6	ARHGEF11
BCL6	ASPHD2
BCL6	CTSB
BCL6	FCGR3A
BCL6	ITGB2
BCL6	KCNJ15
BCL6	LCP1
BCL6	RASSF2
BCL6	RNASEH2B
BCL6	TSHZ3
BCL6	AGFG1
BCL6	FAM212B
BCL6	FOSL2
BCL6	HCK
BCL6	MAP3K3
BCL6	MARCH1
BCL6	PFKFB4
BCL6	PTAFR
BCL6	RBM47
BCL6	S1PR3
BCL6	SLC16A3
BCL6	ZCCHC24
BCL6	AGTRAP
BCL6	ITGA7
BCL6	NAGK
BCL6	RCBTB2
BCL6	SDC3
BCL6	SLC8A1-AS1
BCL6	TMEM127
BCL6	TMEM63B
BCL6	ZDHHC7
BCL6	ABCA1
BCL6	ADD3
BCL6	CCL3
BCL6	CD163L1
BCL6	FCGR2C
BCL6	G0S2
BCL6	HTR3A
BCL6	KIAA0040
BCL6	LILRP2
BCL6	LYRM1
BCL6	MPP7
BCL6	MRVI1
BCL6	OXGR1
BCL6	PTPN2
BCL6	RARA
BCL6	RARG
BCL6	VOPP1
BCL6	ZBTB18
BDP1	AQR
BDP1	BDP1
BDP1	CEP350
BDP1	CTDSPL2
BDP1	DPP8
BDP1	ECD
BDP1	JTB
BDP1	N4BP2
BDP1	NF1
BDP1	PHF3
BDP1	RSF1
BDP1	UBR1
BDP1	AEBP2
BDP1	ANKS1B
BDP1	ATXN3
BDP1	CCDC144A
BDP1	CLYBL-AS2
BDP1	ECT2L
BDP1	FAM175A
BDP1	GTF2H2
BDP1	NCOR1
BDP1	RAC2
BDP1	SH2D6
BDP1	USP12-AS2
BDP1	ZNF207
BHLHE22	BHLHE22
BHLHE22	CTNNBL1
BHLHE22	FAM138E
BHLHE22	FCHSD1
BHLHE22	FHL2
BHLHE22	FOXP2
BHLHE22	HES5
BHLHE41	DPEP1
BHLHE41	LGALSL
BHLHE41	TNFRSF17
BHLHE41	BHLHE41
BHLHE41	GRID2
BHLHE41	MIR210HG
BNC2	BNC2
BNC2	HEG1
BNC2	PRSS23
BNC2	TRIB2
BRCA1	BRCA1
BRCA1	BRI3BP
BRCA1	KIAA1524
BRCA1	MLH1
BRCA1	MMS22L
BRCA1	RND2
BRCA1	SKA3
BRCA1	VRK1
BRCA1	WHSC1
BRCA1	RBBP8
BRCA1	FBXO5
BRCA1	EXO1
BRCA1	CDC25C
BRCA1	RMI1
BRCA1	TIPIN
BRCA1	BUB1B
BRCA1	CENPI
BRCA1	GMNN
BRCA1	KIAA0101
BRCA1	MCM4
BRCA1	POLA1
BRCA1	SUZ12
BRCA1	E2F8
BRCA1	CDC25A
BRCA1	EIF3A
BRCA1	FIGNL1
BRCA1	HMGB2
BRCA1	KPNA2
BRCA1	LIN54
BRCA1	RAD51C
BRCA1	SUPT16H
BRCA1	AKAP1
BRCA1	ASH2L
BRCA1	ATP5G1
BRCA1	BBC3
BRCA1	CCT5
BRCA1	CDC20
BRCA1	CIAO1
BRCA1	DBR1
BRCA1	DDX20
BRCA1	DLC1
BRCA1	DNAJC13
BRCA1	EDRF1
BRCA1	ERLIN2
BRCA1	FASTKD2
BRCA1	FOXF1
BRCA1	FOXP2
BRCA1	GALK2
BRCA1	GGA1
BRCA1	HIST1H3C
BRCA1	HSPH1
BRCA1	IFT74
BRCA1	KDM6B
BRCA1	KIAA1191
BRCA1	LINC00114
BRCA1	MED1
BRCA1	MTFR1L
BRCA1	NANP
BRCA1	NCL
BRCA1	ODC1
BRCA1	PDGFRA
BRCA1	POLE
BRCA1	POLR2B
BRCA1	PURA
BRCA1	RBBP7
BRCA1	RCC1
BRCA1	RUNX3
BRCA1	SNX5
BRCA1	SRSF10
BRCA1	TNFRSF19
BRCA1	TROAP
BRCA1	TUBGCP5
BRCA1	ZFP91
